Rk,Player,Age,Tm,Lg,TS%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
45,Rayjon Tucker,23,PHI,NBA,0.645,14,0,68,15.1,0.389,1.056,1.6,15.9,8.9,12.2,1.4,0,13.2,19.2,123,110,0.1,0.1,0.2,0.166,-3.5,-0.5,-4,0,4.8,9.5,3.7,5.8,1.1,3.7,7.4,10.1,0.5,5.3,5.8,3.2,1.1,0,2.1,4.2,18,0.5,0.636,0.286,0.556,0.737
46,Jahlil Okafor,25,DET,NBA,0.644,27,2,347,13.1,0.088,0.235,7.3,13.9,10.6,6.1,0.8,1.3,15.7,16.8,114,115,0.3,0.3,0.6,0.082,-2.4,-1.1,-3.5,-0.1,6.5,10.6,6.3,9.6,0.2,0.9,1.8,2.5,2.4,4.5,6.8,1.3,0.6,0.5,2.2,4,15,0.618,0.656,0.222,0.627,0.708
47,Alex Len,27,TOT,NBA,0.643,64,42,979,16.4,0.09,0.417,8.5,19.7,14.1,7,0.9,5.6,14.3,16.3,119,110,1.5,1.3,2.7,0.133,-1.2,0.6,-0.6,0.3,6.3,10.2,6,9.3,0.3,0.9,2.7,4.3,2.9,6.7,9.6,1.8,0.7,2.4,2,4.7,15.6,0.615,0.644,0.32,0.629,0.629
48,Mitchell Robinson,22,NYK,NBA,0.642,31,29,853,17.7,0,0.301,14.5,17.5,16,2.9,2.1,5,11.5,11.8,131,104,1.8,1.7,3.4,0.192,-0.3,1.1,0.9,0.6,4.9,7.4,4.9,7.4,0,0,1.1,2.2,4.8,5.9,10.6,0.7,1.5,1.9,1.1,3.6,10.8,0.653,0.653,,0.653,0.491
49,Jontay Porter,21,MEM,NBA,0.64,11,0,54,9.2,0.533,0.333,7.8,19.9,13.7,2.5,2.7,1.7,28.9,18.9,93,108,-0.1,0.1,0,0.019,-6.8,0.3,-6.5,-0.1,5.3,10,3.3,4.7,2,5.3,2,3.3,2.7,6.7,9.3,0.7,2,0.7,4.7,8,14.7,0.533,0.714,0.375,0.633,0.6
50,Nerlens Noel,26,NYK,NBA,0.638,64,41,1547,14.8,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,121,101,1.6,3.6,5.2,0.162,-2.5,3.5,1,1.2,3.2,5.2,3.2,5.1,0,0.1,1.2,1.6,3.3,6.2,9.5,1.1,1.6,3.3,1.5,4.1,7.5,0.614,0.623,0,0.614,0.714
51,Mason Plumlee,30,DET,NBA,0.638,56,56,1499,18.7,0.018,0.444,10.6,28.1,19.3,21,1.4,2.9,18.7,16.3,122,109,3,2.1,5.1,0.164,0.3,1.8,2.1,1.5,5.6,9.2,5.6,9,0,0.2,2.7,4.1,3.5,9,12.5,4.9,1,1.2,2.5,4.5,14,0.614,0.626,0,0.614,0.669
52,Robert Franks,24,ORL,NBA,0.638,7,0,101,16.5,0.536,0.464,6,8.5,7.2,7.4,1.4,2.7,5.6,15.3,133,116,0.3,0.1,0.3,0.158,0.4,-0.7,-0.3,0,4.6,10,2.9,4.6,1.8,5.3,4.3,4.6,2.1,2.9,5,1.8,1.1,1.1,0.7,2.9,15.3,0.464,0.615,0.333,0.554,0.923
53,Oshae Brissett,22,IND,NBA,0.638,21,16,519,17.2,0.517,0.43,6.1,17.9,12,4.6,1.7,3.1,5.3,15.6,129,111,1.2,0.6,1.8,0.165,0.9,-0.6,0.4,0.3,5.1,10.5,2.8,5.1,2.3,5.4,3.5,4.5,2,6,8,1.2,1.3,1.4,0.7,2.2,15.9,0.483,0.548,0.423,0.593,0.769
54,Alize Johnson,24,BRK,NBA,0.638,18,0,189,23.5,0.088,0.191,16.6,35,26.3,10.9,1.3,2.3,10.9,19.1,131,109,0.6,0.3,0.9,0.227,2.4,0.2,2.6,0.2,7.6,13,7.4,11.8,0.2,1.1,2.5,2.5,5.1,12,17.1,2.7,1,1,1.7,3,17.9,0.588,0.629,0.167,0.596,1
55,Enes Kanter,28,POR,NBA,0.636,72,35,1758,22.4,0.007,0.292,16.8,31.9,24.2,7.2,0.9,2.4,11,17.4,133,113,5.7,1.7,7.5,0.204,2,-1.8,0.2,1,6.9,11.5,6.9,11.4,0,0.1,2.6,3.4,5.8,10.5,16.3,1.7,0.7,1,1.6,3.4,16.5,0.604,0.607,0.25,0.605,0.774
56,Joel Embiid,26,PHI,NBA,0.636,51,51,1585,30.3,0.171,0.61,8,29.1,18.7,16.2,1.5,3.9,12.2,35.3,121,104,5.6,3.2,8.8,0.266,6.2,1,7.2,3.7,10.5,20.4,9.2,16.9,1.3,3.5,10.7,12.4,2.6,9.7,12.2,3.3,1.1,1.6,3.6,2.8,33,0.513,0.541,0.377,0.545,0.859
57,Damion Lee,28,GSW,NBA,0.636,57,1,1079,11.8,0.708,0.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,121,111,1.4,1.3,2.7,0.119,-0.8,0.5,-0.3,0.5,4.3,9.1,1.7,2.7,2.6,6.5,1.3,1.5,0.7,5.3,6,2.4,1.3,0.3,1,3,12.4,0.467,0.638,0.397,0.608,0.909
58,Jonas Valančiūnas,28,MEM,NBA,0.636,62,61,1755,24.4,0.077,0.273,15.1,31.9,23.4,10,1,2.9,10.7,22.4,126,108,5.1,2.6,7.8,0.213,3.1,-0.4,2.7,2.1,9,15.2,8.6,14.1,0.4,1.2,3.2,4.2,5.2,10.7,15.9,2.3,0.7,1.2,2.1,3.7,21.7,0.592,0.611,0.368,0.606,0.773
59,Garrison Mathews,24,WAS,NBA,0.635,64,24,1038,9.7,0.835,0.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,130,116,1.7,0.6,2.3,0.108,-1.7,-0.6,-2.3,-0.1,3.4,8.2,0.7,1.4,2.6,6.9,2.9,3.3,0.6,2.5,3,0.9,1,0.2,0.3,3.7,12.3,0.409,0.538,0.384,0.57,0.884
60,Doug McDermott,29,IND,NBA,0.635,66,29,1619,15.6,0.43,0.147,4,10.7,7.4,7.8,0.6,0.3,7,20,121,118,3.1,0.7,3.8,0.112,1.5,-2.1,-0.5,0.6,7.9,14.8,5.4,8.4,2.5,6.4,1.8,2.2,1.3,3.6,4.9,1.9,0.4,0.1,1.2,2.6,20,0.532,0.641,0.388,0.616,0.816
61,Meyers Leonard,28,MIA,NBA,0.635,3,2,29,6.6,1,0.286,0,27.1,13.8,9.7,0,0,20.2,15.4,101,113,0,0,0,0.038,-3.5,-0.9,-4.4,0,3.7,8.7,0,0,3.7,8.7,1.2,2.5,0,8.7,8.7,2.5,0,0,2.5,6.2,12.4,0.429,,0.429,0.643,0.5
62,Zach LaVine,25,CHI,NBA,0.634,58,58,2034,21.5,0.425,0.265,2,13.6,7.9,23.4,1.1,1.2,13.9,31,115,114,4,1.8,5.9,0.138,4.8,-1.1,3.7,2.9,10.1,19.9,6.5,11.4,3.5,8.4,4.5,5.3,0.6,4.5,5.1,5,0.8,0.5,3.6,2.4,28.2,0.507,0.571,0.419,0.596,0.849
63,Chris Boucher,28,TOR,NBA,0.634,60,14,1453,21.9,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,127,109,4,2.1,6.1,0.201,2.8,0.1,2.9,1.8,7.1,13.9,4.9,8.1,2.2,5.8,3.8,4.8,2.9,7.1,10,1.6,0.9,2.8,1.1,4.1,20.3,0.514,0.609,0.383,0.595,0.788
64,Giannis Antetokounmpo,26,MIL,NBA,0.633,61,61,2013,29.2,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,122,107,6.9,3.3,10.2,0.244,6.2,2.6,8.8,5.5,11.2,19.7,10,15.7,1.2,4,7.1,10.4,1.7,10.3,12,6.4,1.3,1.3,3.7,3,30.7,0.569,0.636,0.303,0.6,0.685
65,Jalen Harris,22,TOR,NBA,0.632,13,2,172,15.2,0.5,0.125,1.9,9.9,5.8,16,2.3,0,15.6,22.6,110,114,0.1,0.1,0.3,0.079,0.4,0.1,0.6,0.1,7.5,15.1,4,7.5,3.6,7.5,1.5,1.9,0.6,3.1,3.8,3.6,1.7,0,2.9,3.1,20.1,0.5,0.528,0.472,0.618,0.778
66,Bryn Forbes,27,MIL,NBA,0.631,70,10,1354,12.8,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,119,117,2,0.7,2.7,0.096,0.4,-1.8,-1.4,0.2,6.6,14.1,2.6,5,4.1,9.1,1.2,1.6,0.3,2.7,3,1.2,0.6,0,1.2,2,18.6,0.473,0.511,0.452,0.618,0.77
67,Duncan Robinson,26,MIA,NBA,0.628,72,72,2262,11,0.855,0.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,113,114,1.9,1.8,3.7,0.079,-0.2,-0.9,-1.1,0.5,5,11.4,1,1.7,4,9.8,1,1.2,0.1,3.9,4,2,0.7,0.3,1.3,2.9,15,0.439,0.625,0.408,0.614,0.827
68,Edmond Sumner,25,IND,NBA,0.626,53,24,861,12.7,0.312,0.294,2.3,9.5,5.9,7.9,1.8,0.9,13.8,18.3,112,115,0.7,0.7,1.4,0.077,-2.3,-0.6,-2.9,-0.2,6.2,11.8,4.7,8.1,1.5,3.7,2.8,3.5,0.8,3.2,3.9,2,1.4,0.4,2.1,3.7,16.7,0.525,0.582,0.398,0.587,0.819
69,Bam Adebayo,23,MIA,NBA,0.626,64,64,2143,22.7,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,122,108,5.6,3.2,8.8,0.197,2.9,1.9,4.7,3.6,7.7,13.4,7.6,13.3,0,0.1,4.8,5.9,2.4,7.2,9.6,5.8,1.3,1.1,2.8,2.4,20.1,0.57,0.573,0.25,0.571,0.799
70,Harrison Barnes,28,SAC,NBA,0.626,58,58,2102,15.4,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,123,119,4,0.5,4.5,0.103,1.4,-1.6,-0.2,1,5.5,11,3.8,6.6,1.7,4.4,3.3,4,1.1,5.5,6.6,3.4,0.7,0.2,1.6,1.3,16,0.497,0.567,0.391,0.575,0.83
