Rk,Player,Age,Tm,Lg,TS%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
142,Tobias Harris,28,PHI,NBA,0.597,62,62,2014,20,0.225,0.221,3.5,19.2,11.5,17.6,1.3,2.3,9.5,23.9,118,108,4.1,3.1,7.1,0.17,2.8,0.5,3.4,2.7,8.5,16.5,7,12.8,1.5,3.7,3.3,3.6,1.1,6.4,7.5,3.9,1,0.9,1.9,2.1,21.6,0.512,0.546,0.394,0.556,0.892
143,Anthony Gill,28,WAS,NBA,0.597,26,4,218,13.7,0.4,0.267,7.8,17,12.4,6.7,2.1,1.5,10.7,14.2,120,111,0.3,0.3,0.6,0.123,-1.4,0.2,-1.2,0,5,9.9,3.8,5.9,1.2,4,2.1,2.6,2.6,5.8,8.4,1.8,1.7,0.7,1.3,4.5,13.2,0.5,0.639,0.292,0.558,0.813
144,Sterling Brown,25,HOU,NBA,0.597,51,14,1229,11.1,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,114,116,1,0.8,1.8,0.071,-1.7,0,-1.7,0.1,4.4,9.8,1.7,3.5,2.7,6.3,0.7,0.9,1.1,5.4,6.6,2.1,1.1,0.4,1.2,2.8,12.2,0.448,0.492,0.423,0.584,0.806
145,Steven Adams,27,NOP,NBA,0.596,58,58,1605,15.1,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,122,112,2.3,1.7,4,0.119,-0.3,-0.5,-0.8,0.5,4.2,6.9,4.2,6.8,0,0.1,1.3,3,4.8,6.8,11.5,2.5,1.2,0.9,1.7,2.5,9.8,0.614,0.62,0,0.614,0.444
146,Kendrick Nunn,25,MIA,NBA,0.596,56,44,1650,14.2,0.486,0.091,1.5,10.8,6.2,14.5,1.6,0.9,10.5,20.9,111,113,1.4,1.5,2.9,0.084,-0.4,-0.3,-0.6,0.6,7,14.4,4.3,7.4,2.7,7,1.2,1.3,0.5,3.4,3.9,3.2,1.1,0.3,1.7,2.4,17.8,0.485,0.583,0.381,0.578,0.933
147,George Hill,34,TOT,NBA,0.596,30,17,672,13.1,0.406,0.254,2.6,7.2,4.9,16,1.6,0.7,12.4,15.9,117,114,0.9,0.6,1.4,0.1,-0.9,-0.5,-1.4,0.1,5.1,10.6,3.4,6.3,1.7,4.3,2.1,2.7,0.9,2.4,3.3,3.9,1.2,0.3,1.7,1.7,14,0.482,0.547,0.388,0.561,0.8
148,Kyle Lowry,34,TOR,NBA,0.593,46,46,1601,16.5,0.555,0.268,2.3,15.1,8.5,31.8,1.4,0.9,15.9,21.4,117,115,2.9,1.3,4.1,0.124,1.9,-0.7,1.2,1.3,5.8,13.4,2.9,6,2.9,7.4,3.1,3.6,0.8,4.8,5.6,7.6,1,0.3,2.8,3.2,17.8,0.436,0.487,0.396,0.546,0.875
149,Jabari Parker,25,TOT,NBA,0.593,13,0,165,14.7,0.2,0.236,6.7,21.8,14.2,9.9,0.3,2.8,14.1,18.5,113,114,0.2,0.1,0.3,0.089,-0.8,0.1,-0.6,0.1,6.5,12,6.1,9.6,0.4,2.4,2.2,2.8,2.2,7,9.2,2.4,0.2,1.1,2.2,2.8,15.7,0.545,0.636,0.182,0.564,0.769
150,Bradley Beal,27,WAS,NBA,0.593,60,60,2147,22.7,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,114,115,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8,11.2,23.2,9.1,16.9,2.2,6.3,6.8,7.7,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.5,0.485,0.535,0.349,0.532,0.889
151,Jrue Holiday,30,MIL,NBA,0.592,59,56,1907,20,0.344,0.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,121,111,4.3,2.2,6.6,0.165,2.8,0.7,3.5,2.6,7.8,15.5,5.7,10.2,2.1,5.3,2,2.6,1.4,3.7,5.1,6.7,1.8,0.7,2.4,1.9,19.7,0.503,0.561,0.392,0.57,0.787
152,Jamal Murray,23,DEN,NBA,0.592,48,48,1704,18.3,0.399,0.193,2.5,10.4,6.5,20.3,1.9,0.7,11.2,24.8,116,114,3.1,1.5,4.6,0.129,2.7,-1,1.7,1.6,8,16.7,5.3,10.1,2.7,6.7,2.8,3.2,0.8,3.3,4.1,4.9,1.4,0.3,2.3,2,21.5,0.477,0.523,0.408,0.559,0.869
153,Christian Wood,25,HOU,NBA,0.591,41,41,1326,20,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,111,112,1.4,1.4,2.8,0.1,1.9,-0.5,1.4,1.2,8.9,17.4,6.8,11.8,2.1,5.6,3.4,5.4,2.1,8.7,10.7,1.9,0.9,1.3,2.2,2.4,23.3,0.514,0.581,0.374,0.574,0.631
154,DeMar DeRozan,31,SAS,NBA,0.591,61,61,2056,22,0.08,0.478,2,11.6,6.7,32,1.3,0.6,9.7,26.1,122,115,5.9,1.5,7.4,0.172,3.4,-0.2,3.2,2.7,8,16.1,7.6,14.8,0.3,1.3,6.8,7.7,0.7,3.8,4.5,7.4,1,0.3,2.1,2.2,23,0.495,0.515,0.257,0.505,0.88
155,Willy Hernangómez,26,NOP,NBA,0.591,47,12,846,19.6,0.037,0.347,15,27.8,21.4,8.5,1.2,2.6,9.9,17,125,111,1.9,1,2.9,0.163,1.1,-1.1,-0.1,0.4,6.4,11.4,6.4,11,0,0.4,2.6,4,5,9.2,14.2,2.1,0.9,1,1.4,2.9,15.5,0.563,0.581,0.1,0.565,0.667
156,Kenyon Martin,20,HOU,NBA,0.59,45,8,1068,14.6,0.302,0.264,7,17.6,12.1,6.8,1.3,3.4,9.7,15.6,117,114,1.3,0.9,2.2,0.099,-1.5,-0.4,-1.8,0,5.5,10.7,4.3,7.5,1.2,3.2,2,2.8,2.5,5.7,8.2,1.6,1,1.4,1.3,3,14.1,0.509,0.572,0.365,0.564,0.714
157,JaMychal Green,30,DEN,NBA,0.59,58,5,1120,13.6,0.529,0.152,8.6,19.4,14,6.4,1.1,1.9,11.7,17.6,116,112,1.4,1.2,2.6,0.11,-0.4,-1.6,-2,0,5.6,12,3,5.7,2.5,6.4,1.5,1.8,2.7,6.2,8.9,1.7,0.8,0.7,1.7,4.6,15.1,0.463,0.534,0.399,0.568,0.807
158,Trae Young,22,ATL,NBA,0.589,63,63,2125,23,0.357,0.491,2,10.5,6.3,45.5,1.2,0.5,16.2,33,117,116,5.9,1.3,7.2,0.163,5.4,-1.7,3.6,3,8.3,18.8,5.9,12.1,2.3,6.7,8.2,9.2,0.6,3.5,4.2,10.1,0.9,0.2,4.4,1.9,27,0.438,0.491,0.343,0.499,0.886
159,Anfernee Simons,21,POR,NBA,0.589,64,0,1104,12.3,0.703,0.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,117,119,1.5,0.3,1.8,0.078,0.6,-1.8,-1.3,0.2,5.5,13.1,1.6,3.9,3.9,9.2,1.5,1.9,0.5,4.1,4.6,2.9,0.6,0.3,1.4,3.1,16.4,0.419,0.403,0.426,0.569,0.807
160,Nassir Little,20,POR,NBA,0.589,48,2,640,11.6,0.479,0.269,5.2,16.5,10.7,4.9,0.4,1.8,8.8,13.8,121,118,0.9,0.2,1.1,0.082,-1.1,-2,-3.1,-0.2,4.4,9.4,2.8,4.9,1.6,4.5,2,2.5,1.8,5.4,7.2,1.3,0.3,0.7,1,2.9,12.4,0.467,0.575,0.35,0.551,0.8
161,Tim Hardaway,28,DAL,NBA,0.589,70,31,1985,15.7,0.581,0.191,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,116,116,3.2,1.2,4.3,0.105,1.9,-1.8,0.1,1.1,7.4,16.5,3.6,6.9,3.8,9.6,2.6,3.2,0.4,3.8,4.2,2.3,0.6,0.2,1.2,2,21.1,0.447,0.524,0.391,0.56,0.816
162,Mike Conley,33,UTA,NBA,0.589,51,51,1498,19.2,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,123,109,4,2.1,6.1,0.197,3.5,0.9,4.4,2.4,6.8,15.4,3.5,7.3,3.3,8.1,2.9,3.4,0.9,3.4,4.3,7.3,1.7,0.2,2.4,2.4,19.9,0.444,0.479,0.412,0.552,0.852
163,Bojan Bogdanović,31,UTA,NBA,0.588,72,72,2216,14,0.498,0.286,2,11.1,6.7,9.1,1,0.1,10.9,22.8,113,112,2.7,2.5,5.2,0.113,0.1,-0.9,-0.8,0.7,6.6,15,3.7,7.5,2.9,7.5,3.8,4.3,0.6,3.9,4.6,2.2,0.7,0.1,2.1,1.9,19.9,0.439,0.487,0.39,0.536,0.879
164,Kentavious Caldwell-Pope,27,LAL,NBA,0.588,67,67,1902,10.7,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,114,109,1.6,2.6,4.2,0.107,-1.5,0.6,-0.9,0.6,4.1,9.6,1.9,4,2.3,5.5,1.8,2.1,0.5,2.9,3.4,2.4,1.2,0.5,1.2,2.2,12.4,0.431,0.46,0.41,0.549,0.866
165,Khris Middleton,29,MIL,NBA,0.588,68,68,2269,18.2,0.34,0.22,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25,116,113,4.1,2.2,6.4,0.135,2,-0.7,1.3,1.9,8.1,17,5.7,11.2,2.4,5.8,3.4,3.7,0.9,5.6,6.4,5.9,1.2,0.1,2.8,2.5,22,0.476,0.508,0.414,0.546,0.898
166,Jeremy Lamb,28,IND,NBA,0.587,36,8,765,15.8,0.464,0.272,3.6,14.9,9.3,9.4,2.1,2.4,6.6,18.4,119,111,1.2,0.9,2.1,0.132,0.9,0.4,1.3,0.6,5.6,13,3.2,7,2.4,6,3.3,3.5,1.2,5,6.2,2.5,1.6,1.1,1,3.4,17.1,0.435,0.459,0.406,0.529,0.947
167,Luka Dončić,21,DAL,NBA,0.587,66,66,2262,25.3,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36,114,111,5.1,2.6,7.7,0.163,6.1,0.6,6.7,5,10.3,21.5,7.2,12.8,3.1,8.7,5.5,7.5,0.9,7.5,8.4,9,1,0.6,4.5,2.4,29.1,0.479,0.567,0.35,0.55,0.73
168,Devin Booker,24,PHO,NBA,0.587,67,67,2270,19.2,0.288,0.305,1.7,12.1,7,20.6,1.2,0.6,12.4,32.7,110,114,2.9,2,4.9,0.104,1.4,-1.5,-0.1,1.1,9.9,20.4,7.9,14.5,2,5.9,5.4,6.2,0.5,3.9,4.5,4.6,0.8,0.3,3.3,2.9,27.2,0.484,0.543,0.34,0.533,0.867
169,Khyri Thomas,24,HOU,NBA,0.586,5,2,153,21.3,0.409,0.136,4.7,8,6.3,26.9,2.8,3.5,7.9,21.1,123,113,0.4,0.1,0.5,0.164,2,0.3,2.3,0.2,7.5,15.5,5.4,9.2,2.1,6.4,2.1,2.1,1.6,2.6,4.2,5.9,2.1,1.4,1.4,1.9,19.3,0.485,0.59,0.333,0.553,1
170,Grayson Allen,25,MEM,NBA,0.586,50,38,1259,12.8,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,116,113,1.5,1.2,2.7,0.101,-0.4,-0.1,-0.5,0.5,4.9,11.8,1.9,4,3.1,7.8,2.3,2.6,0.5,4,4.6,3.1,1.3,0.2,1.4,2,15.2,0.418,0.471,0.391,0.547,0.868
171,Jaylen Brown,24,BOS,NBA,0.586,58,58,1999,19.9,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,112,113,2.8,2,4.8,0.115,3.5,-1,2.5,2.3,9.7,20,6.8,12.6,2.9,7.4,3.4,4.5,1.3,5,6.2,3.5,1.3,0.6,2.8,3,25.8,0.484,0.536,0.397,0.558,0.764
172,Jordan Nwora,22,MIL,NBA,0.586,30,2,274,16.1,0.459,0.185,3.6,18.9,11.5,3.6,2.7,2.3,14.1,26,102,108,0,0.4,0.4,0.068,-0.7,-0.6,-1.3,0,8.1,17.7,4.5,9.6,3.7,8.1,2.5,3.3,1.2,6.7,7.9,0.9,2.1,0.9,3.2,2.9,22.5,0.459,0.466,0.452,0.563,0.76
173,Tyrese Haliburton,20,SAC,NBA,0.585,58,20,1746,16.2,0.478,0.09,2.4,8.6,5.5,24.6,2.1,1.4,12.5,18.1,118,118,2.8,0.7,3.5,0.096,1.9,-0.9,1.1,1.4,6,12.8,3.5,6.7,2.5,6.1,1,1.2,0.8,2.8,3.6,6.4,1.6,0.6,1.9,1.7,15.5,0.472,0.529,0.409,0.569,0.857
174,Amir Coffey,23,LAC,NBA,0.585,44,1,394,10.1,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0,11.1,15.1,115,114,0.4,0.3,0.7,0.085,-2.1,-0.5,-2.6,-0.1,4.1,9.4,2,4.3,2.1,5.1,2.5,3.5,0.9,3.1,4,2,0.9,0,1.4,2.7,12.8,0.437,0.468,0.411,0.549,0.711
175,Serge Ibaka,31,LAC,NBA,0.585,41,39,955,18.2,0.315,0.145,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,119,110,1.7,1.3,3,0.15,1.3,-0.5,0.8,0.7,7,13.8,5.5,9.4,1.5,4.3,1.6,2,2.8,7.6,10.4,2.8,0.3,1.8,1.7,2.9,17.1,0.51,0.588,0.339,0.563,0.811
176,Ty Jerome,23,OKC,NBA,0.585,33,1,788,13.4,0.585,0.118,1.3,10.8,6,23.7,1.2,0.7,13.5,18.8,113,116,0.9,0.4,1.3,0.079,0.1,-0.4,-0.3,0.3,5.8,13.1,2.6,5.4,3.2,7.7,1.2,1.6,0.5,3.7,4.2,5.5,0.9,0.3,2.1,2.8,16.1,0.446,0.479,0.423,0.57,0.765
177,Ben Simmons,24,PHI,NBA,0.584,58,58,1877,18.3,0.017,0.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,114,106,2.7,3.3,6,0.153,0.8,1.9,2.7,2.2,6.2,11.2,6.2,11,0.1,0.2,3.4,5.5,1.8,6.2,8,7.7,1.8,0.7,3.3,3.3,15.9,0.557,0.562,0.3,0.56,0.613
178,Brandon Ingram,23,NOP,NBA,0.584,61,61,2093,19.2,0.341,0.291,1.8,13.7,7.8,22.4,1,1.6,11,28,115,116,3.9,1.3,5.3,0.12,3.6,-1.4,2.2,2.2,8.8,18.9,6.4,12.5,2.5,6.5,4.8,5.5,0.6,4.6,5.1,5.1,0.7,0.6,2.6,2.1,24.9,0.466,0.51,0.381,0.531,0.878
179,Gordon Hayward,30,CHO,NBA,0.584,44,44,1496,17.6,0.312,0.281,2.6,16.3,9.3,19.5,1.7,0.9,11,23.9,114,113,2.2,1.4,3.5,0.114,1.9,-0.5,1.4,1.3,7.5,15.8,5.4,10.9,2,4.9,3.8,4.5,0.9,5.3,6.2,4.4,1.3,0.3,2.2,1.8,20.8,0.473,0.499,0.415,0.537,0.843
180,Isaiah Hartenstein,22,TOT,NBA,0.583,46,2,559,17.9,0.035,0.415,13,23.7,18.2,15.3,1.7,6.5,17.9,19.2,114,108,0.7,0.9,1.6,0.134,-2.5,1.1,-1.4,0.1,6.1,11,5.9,10.6,0.1,0.4,3,4.6,4.2,7.5,11.7,3.5,1.2,2.5,2.8,6.7,15.2,0.55,0.558,0.333,0.556,0.648
181,T.J. McConnell,28,IND,NBA,0.583,69,3,1796,16.9,0.098,0.098,3.3,12.1,7.7,34.3,3.4,1,20.9,15.3,117,110,2.6,2.2,4.8,0.128,-0.1,1.6,1.5,1.6,5.5,9.8,5.2,8.9,0.3,1,0.7,1,1.1,4,5.1,9.1,2.6,0.5,2.7,2.3,11.9,0.559,0.586,0.313,0.574,0.688
182,Payton Pritchard,23,BOS,NBA,0.582,66,4,1268,12.4,0.593,0.108,2.9,11.1,6.9,13.3,1.4,0.7,10.8,16.7,117,115,1.6,0.9,2.5,0.095,-0.4,-0.7,-1.1,0.3,5.2,11.9,2.3,4.8,2.9,7,1.1,1.3,0.9,3.5,4.5,3.4,1.1,0.3,1.5,3,14.5,0.44,0.482,0.411,0.562,0.889
183,Danny Green,33,PHI,NBA,0.582,69,69,1934,12.1,0.794,0.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14,114,108,1.6,3.1,4.6,0.115,0.2,1.2,1.5,1.7,4.2,10.1,0.9,2.1,3.3,8,0.6,0.7,1,3.8,4.8,2.2,1.7,1,1.2,2.3,12.2,0.412,0.438,0.405,0.573,0.775
184,Kristaps Porziņģis,25,DAL,NBA,0.582,43,43,1327,21.3,0.378,0.202,6.9,24.6,15.8,8.4,0.7,4.1,6.4,26.5,117,110,2.6,1.7,4.3,0.154,2.9,-0.8,2,1.4,8.8,18.5,6.2,11.5,2.6,7,3.2,3.7,2.2,8.1,10.3,1.8,0.5,1.6,1.4,3.1,23.5,0.476,0.536,0.376,0.547,0.855
185,Jordan Poole,21,GSW,NBA,0.581,51,7,988,15.1,0.582,0.251,1.6,8.2,5,15.4,1.2,0.8,8.8,25,111,114,1.1,0.9,1.9,0.094,0.8,-1.4,-0.6,0.4,7.5,17.3,3.9,7.2,3.5,10.1,3.8,4.3,0.5,2.8,3.4,3.6,0.9,0.3,1.9,3.1,22.3,0.432,0.545,0.351,0.535,0.882
186,Moritz Wagner,23,TOT,NBA,0.58,45,24,722,12.5,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,110,112,0.5,0.8,1.2,0.082,-2.7,0,-2.7,-0.1,5.2,11.4,3.6,6.9,1.5,4.5,3.5,4.3,1.3,5.9,7.3,2.5,1.3,0.9,2.1,5.4,15.5,0.454,0.529,0.341,0.522,0.816
187,Patrick Beverley,32,LAC,NBA,0.58,37,34,832,12,0.641,0.205,4,11.8,8,12,1.7,3,12.4,14.6,118,110,1,1,2.1,0.119,-0.7,0.7,0,0.4,4,9.5,1.6,3.4,2.4,6.1,1.6,1.9,1.3,3.9,5.1,3.3,1.3,1.2,1.5,4.7,12,0.423,0.468,0.397,0.55,0.8
188,Torrey Craig,30,TOT,NBA,0.579,50,8,803,14.2,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,120,109,1.1,1.1,2.2,0.133,-0.3,0.7,0.3,0.5,4.9,10.2,3.1,5.4,1.7,4.8,0.8,1,2.6,6.3,8.8,2.2,1.3,1.2,1.1,3.7,12.3,0.48,0.579,0.368,0.566,0.773
189,Pat Connaughton,28,MIL,NBA,0.578,69,4,1575,11.3,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,121,112,1.8,1.7,3.5,0.108,-0.4,0.1,-0.4,0.6,3.8,8.8,1.5,2.6,2.3,6.2,0.7,0.9,1.4,6.1,7.6,1.9,1.1,0.5,0.8,2.3,10.7,0.434,0.583,0.371,0.565,0.775
190,Ersan İlyasova,33,UTA,NBA,0.578,17,1,148,12.1,0.759,0.093,5.3,15.1,10.4,3.8,3.3,1.6,12.5,18.7,109,104,0.1,0.3,0.4,0.122,-2.7,1.5,-1.2,0,5.1,13.1,0.7,3.2,4.4,10,1.2,1.2,1.7,5.4,7.1,1,2.4,0.7,1.9,7.1,15.8,0.389,0.231,0.439,0.556,1
191,Landry Shamet,23,BRK,NBA,0.578,61,12,1403,10.3,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,113,118,1.2,0.6,1.8,0.063,-1.1,-1.5,-2.5,-0.2,4.8,11.7,1.5,3.2,3.3,8.5,1.7,2,0.3,2.6,2.9,2.5,0.8,0.3,1.2,2.4,14.5,0.408,0.463,0.387,0.549,0.846
192,Thaddeus Young,32,CHI,NBA,0.578,68,23,1652,20.3,0.068,0.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,116,110,2.8,2.2,5.1,0.147,2,1.2,3.2,2.2,8.1,14.4,7.8,13.4,0.3,1,1.5,2.5,3.7,5.6,9.2,6.3,1.6,0.9,3,3.3,17.9,0.559,0.58,0.267,0.568,0.628
193,Kyle Anderson,27,MEM,NBA,0.578,69,69,1887,17.2,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,118,109,2.9,2.7,5.6,0.143,1.4,1.7,3.1,2.4,5.9,12.6,4.1,7.6,1.8,5,2.7,3.5,1,6.6,7.6,4.8,1.6,1.1,1.6,2.3,16.3,0.468,0.539,0.36,0.54,0.783
194,Jake Layman,26,MIN,NBA,0.577,45,11,627,11.4,0.424,0.201,2.2,9.7,5.8,6.4,2.2,2.6,11.5,15.1,107,115,0.2,0.5,0.7,0.051,-2.6,-0.1,-2.7,-0.1,5.2,10.6,3.9,6.1,1.3,4.5,1.5,2.1,0.7,3.1,3.8,1.6,1.7,1.1,1.5,2.5,13.3,0.495,0.642,0.295,0.557,0.703
195,CJ McCollum,29,POR,NBA,0.577,47,47,1600,20.8,0.475,0.15,2,10.6,6.2,23,1.3,1.2,6.5,27.1,120,118,4.1,0.6,4.7,0.141,4.9,-1.5,3.3,2.1,9.1,19.9,5.3,10.4,3.8,9.5,2.4,3,0.7,3.5,4.2,5,1,0.5,1.5,2,24.5,0.458,0.509,0.402,0.554,0.812
196,Eric Gordon,32,HOU,NBA,0.577,27,13,789,14.4,0.572,0.311,1,7.1,3.9,14.6,0.8,1.5,10.9,25.2,108,119,0.6,0.2,0.8,0.048,0.9,-1.5,-0.6,0.3,7.3,16.7,4.1,7.2,3.1,9.6,4.3,5.2,0.4,2.3,2.6,3.2,0.6,0.6,2.3,2,21.9,0.433,0.573,0.329,0.527,0.825
197,Jayson Tatum,22,BOS,NBA,0.576,64,64,2290,21.3,0.368,0.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,114,112,4.1,2.5,6.5,0.137,4.1,-0.4,3.7,3.3,9.5,20.7,6.6,13.1,2.9,7.6,4.6,5.3,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.6,0.459,0.502,0.386,0.53,0.868
198,Devontae Cacok,24,LAL,NBA,0.576,20,1,98,17.2,0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,111,102,0.1,0.2,0.3,0.142,-1.3,0.6,-0.7,0,6.2,10.7,6.2,10.7,0,0,1.8,4,4.4,7.3,11.8,0.4,1.8,1.5,1.8,2.9,14.3,0.586,0.586,,0.586,0.455
199,Reggie Jackson,30,LAC,NBA,0.576,67,43,1544,14.2,0.482,0.14,1.8,11.9,7,19,1.3,0.4,10.6,19.9,116,113,2.3,1.4,3.7,0.115,0.5,-0.5,0.1,0.8,6.1,13.6,3.3,7.1,2.8,6.6,1.6,1.9,0.6,3.9,4.5,4.8,1,0.2,1.7,3,16.7,0.45,0.465,0.433,0.554,0.817
200,Jae'Sean Tate,25,HOU,NBA,0.576,70,58,2043,13.8,0.312,0.235,6.6,13.2,9.8,13.2,2,1.6,12.4,16.4,114,115,2.2,1.6,3.8,0.088,-1.6,0.4,-1.2,0.4,5.6,11,4.5,7.6,1.1,3.4,1.8,2.6,2.3,4.3,6.6,3.1,1.5,0.6,1.7,3.9,14,0.506,0.595,0.308,0.554,0.694
201,Derrick Jones,23,POR,NBA,0.576,58,43,1318,11.9,0.447,0.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,121,116,1.6,0.8,2.4,0.089,-1.6,-0.3,-1.9,0.1,4,8.3,2.8,4.6,1.2,3.7,1.6,2.5,2.1,3.5,5.6,1.3,1,1.5,0.9,3.5,10.8,0.484,0.619,0.316,0.554,0.648
202,Kevon Looney,24,GSW,NBA,0.575,61,34,1161,11.9,0.086,0.244,10.9,18.6,14.8,13.4,0.8,1.7,14.5,9.4,130,111,2,1.4,3.4,0.139,-1.9,0.5,-1.5,0.2,3.3,6.1,3.2,5.6,0.1,0.5,1,1.5,3.6,6.4,10,3.7,0.7,0.7,1.1,4.2,7.8,0.548,0.578,0.235,0.558,0.646
203,Terry Rozier,26,CHO,NBA,0.575,69,69,2383,17.1,0.504,0.178,2.1,11.8,6.9,20,1.8,1.1,9.5,24.4,113,114,3.3,2,5.2,0.105,2.4,-0.9,1.5,2.1,7.7,17.1,4.4,8.5,3.4,8.6,2.5,3.1,0.7,3.9,4.6,4.4,1.3,0.4,1.9,1.8,21.3,0.45,0.512,0.389,0.548,0.817
204,Cassius Winston,22,WAS,NBA,0.575,22,0,98,10.8,0.515,0.182,0,9.7,4.9,16.3,0.9,0.9,12.3,17.2,111,116,0.1,0.1,0.1,0.066,-1.7,-1.3,-3,0,5.1,12.1,2.2,5.9,2.9,6.2,1.8,2.2,0,3.3,3.3,4.4,0.7,0.4,1.8,2.9,15.1,0.424,0.375,0.471,0.545,0.833
205,Raul Neto,28,WAS,NBA,0.575,64,22,1403,13,0.367,0.19,2.1,9.6,5.9,14,2.4,0.4,9.9,15.8,115,113,1.5,1.3,2.8,0.097,-1.5,0.6,-0.8,0.4,5.4,11.5,3.7,7.3,1.6,4.2,1.9,2.2,0.7,3.3,4,3.7,1.9,0.2,1.4,2.8,14.3,0.468,0.512,0.39,0.539,0.882
206,Bismack Biyombo,28,CHO,NBA,0.574,66,36,1349,11.7,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,113,113,0.9,1.4,2.3,0.081,-3.2,-0.1,-3.3,-0.5,3.8,6.5,3.8,6.4,0,0,1.3,2.8,3.7,5.6,9.3,2.2,0.5,2,1.9,3.8,8.8,0.587,0.589,0,0.587,0.448
207,Jae Crowder,30,PHO,NBA,0.574,60,42,1648,11.8,0.772,0.152,2.2,16.9,9.7,10,1.4,1.5,9.5,15.7,113,111,1.4,1.9,3.3,0.097,0.1,0.7,0.8,1.2,4.3,10.7,1.1,2.4,3.2,8.3,1.2,1.6,0.7,5.5,6.2,2.8,1,0.6,1.2,2.7,13.2,0.404,0.455,0.389,0.555,0.76
208,Trey Lyles,25,SAS,NBA,0.574,23,9,358,11.4,0.444,0.256,2.6,23.3,12.8,5.3,0.8,0.2,5.7,12.9,116,114,0.3,0.3,0.6,0.085,-1.2,-0.7,-1.9,0,4.3,9.1,2.9,5,1.4,4,1.5,2.3,0.9,7.7,8.6,1.4,0.6,0.1,0.6,1.3,11.6,0.478,0.58,0.35,0.556,0.652
209,Cristiano Felício,28,CHI,NBA,0.574,18,0,84,14.7,0.154,1.231,13.3,20.9,17.2,13.6,2.3,0,16.6,12.4,125,110,0.2,0.1,0.3,0.151,-1,0.7,-0.3,0,3,5.6,3,4.7,0,0.9,3.9,6.9,4.3,6.9,11.1,3.9,1.7,0,1.7,4.3,9.9,0.538,0.636,0,0.538,0.563
210,Obi Toppin,22,NYK,NBA,0.574,62,0,683,12.7,0.407,0.124,4.2,17.6,11,6.4,1.2,2.1,9.4,15.9,112,108,0.5,1,1.5,0.109,-1.5,0.5,-1,0.2,5.5,11,4.1,6.5,1.4,4.5,1,1.4,1.4,5.9,7.3,1.5,0.9,0.8,1.2,2.9,13.3,0.498,0.629,0.306,0.56,0.731
211,Monte Morris,25,DEN,NBA,0.574,47,13,1196,14,0.346,0.189,1,8,4.6,17.1,1.4,1.1,7.5,16.5,121,115,2,0.8,2.9,0.115,0.2,-1.1,-0.8,0.4,5.6,11.6,4.1,7.6,1.5,4,1.7,2.2,0.3,2.6,2.9,4.5,1,0.4,1,1.4,14.5,0.481,0.534,0.381,0.547,0.795
